Round,Date,Local_Time,GMT_Time,Home_Team,Away_Team
14,"Thursday, 4 December 2025",20:00,18:00,ZALGIRIS KAUNAS,MACCABI RAPYD TEL AVIV
14,"Thursday, 4 December 2025",19:30,18:30,AS MONACO,PARIS BASKETBALL
14,"Thursday, 4 December 2025",20:30,18:30,FC BAYERN MUNICH,PARTIZAN MOZZART BET BELGRADE
14,"Thursday, 4 December 2025",21:00,19:00,HAPOEL IBI TEL AVIV,LDLC ASVEL VILLEURBANNE
14,"Thursday, 4 December 2025",21:15,19:15,OLYMPIACOS PIRAEUS,FENERBAHCE BEKO ISTANBUL
14,"Friday, 5 December 2025",20:00,19:00,CRVENA ZVEZDA MERIDIANBET BELGRADE,FC BARCELONA
14,"Friday, 5 December 2025",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,VALENCIA BASKET
14,"Friday, 5 December 2025",20:30,19:30,BASKONIA VITORIA-GASTEIZ,EA7 EMPORIO ARMANI MILAN
14,"Friday, 5 December 2025",20:30,19:30,VIRTUS BOLOGNA,DUBAI BASKETBALL
,,,,,
15,"Thursday, 11 December 2025",20:05,19:05,MACCABI TEL AVIV,LDLC ASVEL VILLEURBANNE
15,"Thursday, 11 December 2025",20:30,19:30,EA7 EMPORIO ARMANI MILAN,PANATHINAIKOS AKTOR ATHENS
15,"Thursday, 11 December 2025",20:30,19:30,VALENCIA BASKET,ANADOLU EFES ISTANBUL
15,"Thursday, 11 December 2025",20:45,19:45,PARIS BASKETBALL,ZALGIRIS KAUNAS
15,"Thursday, 11 December 2025",21:00,20:00,REAL MADRID,BASKONIA VITORIA-GASTEIZ
15,"Friday, 12 December 2025",20:00,16:00,DUBAI BASKETBALL,FC BAYERN MUNICH
15,"Friday, 12 December 2025",19:30,18:30,AS MONACO,FENERBAHCE BEKO ISTANBUL
15,"Friday, 12 December 2025",20:30,19:30,FC BARCELONA,OLYMPIACOS PIRAEUS
15,"Friday, 12 December 2025",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,CRVENA ZVEZDA MERIDIANBET BELGRADE
15,"Friday, 12 December 2025",20:30,19:30,VIRTUS BOLOGNA,HAPOEL IBI TEL AVIV
,,,,,
16,"Tuesday, 16 December 2025",20:00,16:00,DUBAI BASKETBALL,MACCABI RAPYD TEL AVIV
16,"Tuesday, 16 December 2025",20:45,17:45,FENERBAHCE BEKO ISTANBUL,PANATHINAIKOS AKTOR ATHENS
16,"Tuesday, 16 December 2025",20:00,18:00,HAPOEL IBI TEL AVIV,CRVENA ZVEZDA MERIDIANBET BELGRADE
16,"Tuesday, 16 December 2025",21:15,19:15,OLYMPIACOS PIRAEUS,VALENCIA BASKET
16,"Tuesday, 16 December 2025",20:30,19:30,EA7 EMPORIO ARMANI MILAN,REAL MADRID
16,"Tuesday, 16 December 2025",20:45,19:45,PARIS BASKETBALL,FC BARCELONA
16,"Wednesday, 17 December 2025",20:00,18:00,ZALGIRIS KAUNAS,ANADOLU EFES ISTANBUL
16,"Wednesday, 17 December 2025",20:00,19:00,LDLC ASVEL VILLEURBANNE,FC BAYERN MUNICH
16,"Wednesday, 17 December 2025",20:30,19:30,BASKONIA VITORIA-GASTEIZ,AS MONACO
16,"Wednesday, 17 December 2025",20:30,19:30,PARTIZAN MOZZART BET BELGRADE,VIRTUS BOLOGNA
,,,,,
17,"Thursday, 18 December 2025",20:05,19:05,MACCABI RAPYD TEL AVIV,VALENCIA BASKET
17,"Thursday, 18 December 2025",21:15,19:15,PANATHINAIKOS AKTOR ATHENS,HAPOEL IBI TEL AVIV
17,"Thursday, 18 December 2025",20:30,19:30,EA7 EMPORIO ARMANI MILAN,FENERBAHCE BEKO ISTANBUL
17,"Thursday, 18 December 2025",20:45,19:45,REAL MADRID,PARIS BASKETBALL
17,"Friday, 19 December 2025",20:30,17:30,ANADOLU EFES ISTANBUL,DUBAI BASKETBALL
